Veh ID,,Brand,Model,Listing,Date Range,Doors ,Engine,Product,,Part Number,Incl.,Excl.,Remarks,Front Lowering (up to),Rear Lowering (up to) ,Axle Weights,Notes,,,,
3,"Abarth 124  Spider  2016 > 2020 1.4i, 1.4t ",Abarth,124,124  Spider ,2016 > 2020,2 Door,"1.4i, 1.4t",Koni Special Active,Damper Front   ,8245-1441,,,,,,,,,,,
3,"Abarth 124  Spider  2016 > 2020 1.4i, 1.4t ",Abarth,124,124  Spider ,2016 > 2020,2 Door,"1.4i, 1.4t",Koni Special Active,Damper Rear   ,8245-1442,,,,,,,,,,,
3,"Abarth 124  Spider  2016 > 2020 1.4i, 1.4t ",Abarth,124,124  Spider ,2016 > 2020,2 Door,"1.4i, 1.4t",Koni Special Active,Damper Set,FI-SA1062,,,,,,,,,,,
4,"Abarth 124  Spider  2016 > 2020 1.4i, 1.4t ",Abarth,124,124  Spider ,2016 > 2020,2 Door,"1.4i, 1.4t",Koni Sport Dampers,Damper Front ,8241-1304SPORT,,,,,,,,,,,
4,"Abarth 124  Spider  2016 > 2020 1.4i, 1.4t ",Abarth,124,124  Spider ,2016 > 2020,2 Door,"1.4i, 1.4t",Koni Sport Dampers,Damper Rear   ,8241-1305SPORT,,,,,,,,,,,
4,"Abarth 124  Spider  2016 > 2020 1.4i, 1.4t ",Abarth,124,124  Spider ,2016 > 2020,2 Door,"1.4i, 1.4t",Koni Sport Dampers,Damper Set,FI-SP1062,,,,,,,,,,,
5,Abarth 500 Hatchback  2007 > 2023 1.4I Turbo ,Abarth,500,500 Hatchback ,2007 > 2023,3 Door,1.4I Turbo,Apex Performance,Lowering Spring Set,30 5230,,,,25-30mm,25-30mm,Front axle load as from 771 kg,,,,,
5,Abarth 500 Hatchback  2007 > 2023 1.4I Turbo ,Abarth,500,500 Hatchback ,2007 > 2023,3 Door,1.4I Turbo,Apex Performance,Replacement Spring Set,905 1008,,,,Nil,Nil,Front axle load as from 771 kg,,,,,
6,Abarth 500 Hatchback  2007 > 2023 1.4I Turbo ,Abarth,500,500 Hatchback ,2007 > 2023,3 Door,1.4I Turbo,H&R ,Lowering Spring Set,29054-2,,,,25-30mm,25-30mm,Front axle load as from 771 kg,,,,,
5,Abarth 500 Hatchback  2007 > 2023 1.4i Turbo ,Abarth,500,500 Hatchback ,2007 > 2023,3 Door,1.4i Turbo,Koni Special Active,Damper Front  Left,8745-1247L,,,,,,,,,,,
