engine_id,engine_code
1,1.4i
2,1.4t
3,1.4I Turbo
4,3.2i-V6
5,1.6TS
6,2.0TS
7,1.9JTD
8,1.6 16V
9,1.8 16V
10,2.0 16V
11,2.5 V6
12,1.9 JTD
13,2.4 JTD
14,1750 TBi
15,1.8 mpi
16,1.9 JTS
17,2.2 JTS
18,1.9 JTDM
19,2.0 JTDM
20,2.4 JTDM
21,1.6
22,1.8
23,2.0
24,2.5-V6
25,2.0i
26,3.2 V6
27,Q4 only
28,1.4 TB
29,1.8 TBi
30,1.6 JTDM
31,1.6i 16V
32,1.8i 16V
33,2.0i 16V
34,2.5i V6
35,3.2i V6
36,2.0i-16V
37,2.0-V6 Turbo
38,1.8i-16V
39,3.0-V6 24V
40,3.2-V6 24V
41,1.4TB
42,1.3 JTDM
43,1.6JTDM
44,2.6-V8
45,1300
46,1600
47,1750
48,2000 incl. DueTTo
49,Veloce
50,1.2TFSi
51,1.4TFSi
52,1.6TDi
53,2.0TDi
54,including S-Line models
55,25TFSi
56,30TFSi
57,35TFSi
58,including S-Line
59,40TFSi
60,1.6i
61,1.4TDi
62,1.6FSi
63,2.0FSi 1.6TDi
64,3.2-V6
65,1.0TFSi
66,1.5TFSi
67,1.8TFSi
68,2.0FSi
69,1.5TFSi Hybrid
70,1.8i
71,1.8T
72,1.9TDi.
73,30TDi
74,35TDi
75,40TFSie
76,45TFSie
77,1.9TDi
78,2.0TFSi
79,45TDi
80,2.4i
81,3.0i
82,2.5TDi
83,3.0TFSi
84,3.2TFSi
85,2.7TDi
86,3.0TDi
87,3.0TFSi-V6
88,3.0TDi-V6
89,850
90,1000
91,1275
92,116i
93,118i
94,120i
95,125i
96,130i
97,135i
98,116d
99,118d
100,120d
101,123d
102,114i
103,114d
104,125d
105,M135i
106,M140i
107,318Ci
108,320Ci
109,323Ci
110,325Ci
111,330Ci
112,320Cd
113,330Cd
114,316Ti
115,318Ti
116,325Ti
117,318TD
118,320TD
119,316i
120,318i
121,320i
122,323i
123,325i
124,328i
125,330i
126,318d
127,320d
128,330d
129,325xi
130,330xi
131,330xd
132,320si
133,316d
134,325d
135,335i
136,335d
137,330e Hybrid
138,520i
139,523i
140,525i
141,530i
142,535i
143,520d
144,525D
145,530D
146,540i
147,545i
148,550i
149,535d
150,500
151,500 D
152,500 Giardiniera
153,0.9i
154,1.0i
155,1.2i
156,1.4 Turbo
157,1.9TD
158,2.2HDi
159,2.3JTD
160,2.5TD
161,2.8D
162,2.0d
163,2.3d
164,3.0d
165,1.3 MultiJet & 1.4 Turbo
166,1.4T Abarth
167,1.25i
168,1.3i
169,1.4d
170,1.6d
171,1.5i
172,1.5d
173,2.0i-16V ST150
174,1.6T ST180
175,ST200
176,1.6-16V
177,2.0-16V
178,2.0TDCi
179,1.8d
180,2.5i
181,2.0T Ecoboost
182,1.1Ti
183,1.5TDCi
184,3.8
185,4.2
186,5.3 V12
187,2.4 LiTre
188,3.4 LiTre
189,3.8 LiTre
190,5.3 LiTre V12
191,4.2 LiTre
192,2.5
193,2.5d
194,3.5 V8
195,3.9i V8
196,4.0i V8
197,4.6i V8
198,2.7TDi V6
199,4.4i V8
200,3.0TDi V6
201,3.0i V6
202,5.0i V8
203,4.2i V8
204,3.3D MHEV
205,2.5E PHEV
206,1.8-16V
207,2.1TD
208,3.0TD
209,2.0TD
210,1.6TD
211,1.7TD
212,2.2TD
213,3.0
214,3.2
215,3.7. 2.0CDi
216,2.2CDi
217,3.0CDi
218,2.0T
219,2.3TD
220,3.0d V6
221,All
222,MG-B GT Coupé
223,MG-C 6-cyl.
224,incl. GT
225,1.5 Turbo
226,1.5TD
227,1.6 Turbo
228,1.4TD
229,2.0 Turbo
230,1.6i Supercharged
231,1.6T
232,1.2 Turbo
233,1..6T
234,3.6i
235,3.8i
236,3.4i
237,2.7
238,3.3T
239,3.6T
240,3.6i Twin Turbo
241,2.5 Turbo
242,2.7i
243,3.2i
244,2.9i
245,Mini 850
246,1100
247,1275GT & Cooper models
248,1.0Mpi
249,1.0TSi
250,1.5TSi
251,1.2TSi
252,1.4TSi
253,1.8TSi
254,1.9d
255,1.9Sdi
256,1.6SDi
257,1.8T &TDi
258,1.9 GTTDi
259,1.9TDi (96kW)
260,2.0TSi
261,10.TSie
262,1.5TSie
263,1.4TSi PHEV
264,2.8I
265,1.8i-20V Turbo
266,2.0TFSi 237 bhp
267,1.2TDi
268,1.4 TSi
269,1.4TSi PHEV RS
270,2.0TDi SCR
271,1.3CDTi
272,1.7CDTi
273,1.6i Turbo
274,1.3
275,1.5
276,1.8 Supercharged
277,16V
278,1.8i-8V
279,1.4
280,2.8i-V6
281,2.9i-V6
282,2.3i-V5
283,1.8 Turbo
284,2.5i-V5
285,2.5i-V6
286,2.0i Turbo
287,Golf 5 R32
288,2.0TDi (170PS)
289,1.4 TSi Hybrid
290,2.0 TSi
291,2.0TDi. 2.5TDi
292,2.0BiTDi
