part_number,vehicle_ids
10 1500,158
10 1510,158
10 7200,"286, 294"
10 7210,"286, 294"
10 7230,"289, 297"
10 7400,312
10 7405,"302, 308, 318"
10 7410,312
10 7415,"302, 308, 318"
10 8000,"164, 2719"
10 8040,"171, 2575, 3187, 3190"
10 8200,"175, 188, 2735, 2741, 3203, 3212, 3221"
10 8210,"175, 188, 2735, 2741, 2746, 2749, 3203, 3212, 3221"
10 8250,"183, 196"
10 8400,"224, 238, 266"
10 8410,"224, 238"
10 8411,"224, 238"
10 8420,"224, 238"
10 8421,"224, 238"
100 4000,1660
100 4010,1663
100 4020,1666
100 4030,"1164, 1669"
11 7050,39
11 7050-1,45
11 7051,39
11 7051-1,"45, 56"
11 7200,"51, 64, 98"
1120-0080,"3234, 3251"
1120-0080A,"3234, 3251"
1120-0081,"3234, 3251"
1120-0081A,"3234, 3251"
1120-0082,3251
1120-0082A,3251
1120-0083,3240
1120-0084,3240
1120-0085,"3234, 3251"
1120-0085A,"3234, 3251"
1120-0086,"3234, 3251"
1120-0086A,"3234, 3251"
1120-0087,"3234, 3251"
1120-0087A,"3234, 3251"
1120-0088,3240
1120-0089,3240
1120-0121,1241
1120-0121A,1241
1120-0122A,1243
1120-0123A,1244
1120-0181,"2503, 2518"
1120-0182,"2503, 2518"
1120-0183,2525
1120-0184,2525
1120-0540A,1173
1120-0540B,1173
1120-0541,"1171, 1173"
1120-0541A,"1171, 1173"
1120-0541B,1173
1120-0542,"5, 7, 9, 11, 14, 15, 1171, 1173"
1120-0542A,"5, 7, 9, 11, 14, 15, 1171, 1173"
1120-0542B,"5, 7, 9, 11, 14, 15, 1171, 1173"
1120-0611,312
1120-0611A,312
1120-0612,"302, 308, 318"
1120-0612A,"302, 308, 318"
1120-0613,312
1120-0613A,312
1120-0614,"302, 308, 318"
1120-0614A,"302, 308, 318"
1120-0731,2630
1120-0731A,2630
1120-0732,2630
1120-0733,2626
1120-0734,2626
1120-0901A,"1861, 1885, 1888, 1910, 1913"
1120-0901B,"1861, 1885, 1888, 1910, 1913"
1120-1241,2729
1120-1241A,2729
1120-1242,2730
1120-1242A,2730
1120-1311,"92, 3000, 3001, 3003"
1120-1311A,"92, 1214, 3000, 3001, 3003"
1120-1312,"92, 2992, 3000, 3001, 3003"
1120-1312A,"92, 1214, 2992, 3000, 3001, 3003"
1120-1313,1214
