vehicle_id,make,model,listing,year_from,year_to
3,Abarth,124,124  Spider,2016.0,2020.0
5,Abarth,500,500 Hatchback,2007.0,2023.0
7,Abarth,500C,500C Cabriolet,2007.0,2023.0
9,Abarth,595,595 Hatchback,2007.0,2023.0
11,Abarth,595C,595C Cabriolet,2007.0,2023.0
14,Abarth,695,695 Hatchback,2007.0,2023.0
15,Abarth,695C,695C Cabriolet,2007.0,2023.0
17,Acura,CL,CL  Coupé,2001.0,2003.0
37,Alfa Romeo,147,147  Hatchback,2000.0,2010.0
39,Alfa Romeo,156,156  Saloon,1997.0,2006.0
45,Alfa Romeo,156,156  Sportwagen,1997.0,2006.0
51,Alfa Romeo,159,159  Saloon,2005.0,2012.0
52,Alfa Romeo,159,159  Sportwagen,2005.0,2012.0
55,Alfa Romeo,147 GTA,147 GTA  Hatchback,2003.0,2005.0
56,Alfa Romeo,156 GTA,156 GTA  Saloon,2001.0,2006.0
59,Alfa Romeo,Alfetta,Alfetta  Saloon,1972.0,1986.0
60,Alfa Romeo,Alfetta GTV,Alfetta GTV  Coupé,1976.0,1984.0
64,Alfa Romeo,Brera,Brera  Coupé,2005.0,2011.0
67,Alfa Romeo,Giulia,Giulia  Spider,1962.0,1965.0
69,Alfa Romeo,Giulia,Giulia  Saloon,1965.0,1978.0
70,Alfa Romeo,Giulia Sprint,Giulia Sprint  Coupé,1962.0,1965.0
71,Alfa Romeo,Giulia SS,Giulia SS  Coupé,1962.0,1965.0
72,Alfa Romeo,Giulietta,Giulietta  Hatchback,2010.0,2019.0
73,Alfa Romeo,Giulietta,Giulietta  Saloon,1955.0,1964.0
74,Alfa Romeo,Giulietta,Giulietta (116) Saloon,1978.0,1987.0
77,Alfa Romeo,GT,GT  Coupé,2004.0,2010.0
81,Alfa Romeo,GTV,GTV  Coupé,1976.0,1984.0
84,Alfa Romeo,GTV,GTV  Coupé,1995.0,1997.0
86,Alfa Romeo,GTV,GTV  Coupé,1995.0,2003.0
88,Alfa Romeo,GTV,GTV  Coupé,1995.0,2005.0
90,Alfa Romeo,GTV,GTV  Coupé,1997.0,2005.0
92,Alfa Romeo,MiTo,MiTo  Hatchback,2008.0,2018.0
93,Alfa Romeo,Montreal,Montreal  Coupé,1974.0,1976.0
95,Alfa Romeo,Spider,Spider  Convertible,1967.0,1993.0
97,Alfa Romeo,Spider,Spider  Convertible,1999.0,2005.0
98,Alfa Romeo,Spider,Spider  Convertible,2006.0,2011.0
150,Audi,A1,A1 Hatchback,2010.0,2018.0
153,Audi,A1,A1 Hatchback,2018.0,2025.0
158,Audi,A2,A2 Hatchback,2000.0,2005.0
164,Audi,A3,A3 Hatchback,1996.0,2003.0
167,Audi,A3,A3 Hatchback Quattro,1998.0,1999.0
171,Audi,A3,A3 Hatchback Quattro,1999.0,2003.0
173,Audi,A3,A3 Cabriolet,2003.0,2012.0
175,Audi,A3,A3 Hatchback,2003.0,2012.0
183,Audi,A3,A3 Hatchback Quattro,2003.0,2012.0
188,Audi,A3,A3 Sportback,2003.0,2012.0
196,Audi,A3,A3 Sportback Quattro,2003.0,2012.0
202,Audi,A3,A3 Cabriolet,2014.0,2019.0
207,Audi,A3,A3 Cabriolet Quattro,2014.0,2019.0
210,Audi,A3,A3 Hatchback,2012.0,2019.0
221,Audi,A3,A3 Hatchback Quattro,2012.0,2019.0
224,Audi,A3,A3 Saloon,2012.0,2019.0
235,Audi,A3,A3 Saloon Quattro,2012.0,2019.0
238,Audi,A3,A3 Sportback,2012.0,2019.0
250,Audi,A3,A3 Sportback Quattro,2012.0,2019.0
253,Audi,A3,A3 Hatchback,2020.0,2025.0
264,Audi,A3,A3 Hatchback Quattro,2020.0,2025.0
266,Audi,A3,A3 Saloon,2020.0,2025.0
277,Audi,A3,A3 Saloon Quattro,2020.0,2025.0
278,Audi,A3 E-Tron,A3 E-Tron Sportback,2014.0,2019.0
280,Audi,A3 G-Tron,A3 G-Tron Sportback,2014.0,2019.0
286,Audi,A4,A4 Avant,2000.0,2007.0
