engine_id,engine_code
1,1.4i
2,1.4t
3,1.4i Turbo
4,3.2i-V6
5,1.6i
6,1.8i
7,2.0i
8,2.4i
9,1.3i
10,1.5i
11,1.6
12,1.8
13,2.0
14,2.0TD
15,1.8 Turbo
16,2.5i-V6
17,1.6TS
18,2.0TS
19,1.9JTD
20,1.6 16V
21,1.8 16V
22,2.0 16V
23,2.5 V6
24,1.9 JTD
25,2.4 JTD
26,1750 TBi
27,1.8 mpi
28,1.9 JTS
29,2.2 JTS
30,1.9 JTDM
31,2.0 JTDM. 2.4JTDM
32,2.5-V6
33,2.0 JTDM
34,2.4 JTDM
35,3.2 V6
36,1.4 TB
37,1.8 TBi
38,1.6 JTDM
39,1.6i 16V
40,1.8i 16V
41,2.0i 16V
42,2.5i V6
43,3.2i V6
44,2.0i-16V
45,2.0-V6 Turbo
46,1.8i-16V
47,3.0-V6 24V
48,3.2-V6 24V
49,1.4T
50,1.4TB
51,1.3 JTDM
52,1.6JTDM
53,2.6-V8
54,1300
55,1600
56,1750
57,2000 incl. DueTTo
58,Veloce
59,0.8
60,0.9
61,1.1
62,1.1. 1.3. 1.5
63,2.3i
64,2.6i
65,2.8i
66,1.9
67,2.1
68,2.2
69,2.3
70,2.0D 2.5TDi
71,1.2TFSi
72,1.4TFSi
73,1.6TDi
74,2.0TDi
75,including S-Line models
76,25TFSi
77,30TFSi
78,35TFSi
79,including S-Line
80,30TSFi
81,35TSFi
82,includning S-Line
83,1.4TDi
84,1.8T
85,1.9TDi.
86,1.9TDi
87,1.6FSi
88,2.0FSi 1.6TDi
89,3.2-V6
90,1.0TFSi
91,1.5TFSi
92,1.8TFSi
93,2.0FSi
94,2.0TFSi
95,30TDi
96,40TFSie
97,45TFSie
98,35TDi
99,45TDi
100,1.5TFSi Hybrid
101,2.5TDi
102,3.0i
103,3.0TFSi
104,3.2TFSi
105,2.7TDi
106,3.0TDi
107,3.0TFSi-V6
108,3.0TDi-V6
109,3.2FSi
110,2.8i-V6
111,1.9Tdi
112,2.5Tdi.
113,1.8t
114,3.0i-V6
115,3.2
116,2.0Tdi
117,2.7Tdi
118,3.0Tdi
119,2.8TFSi
120,45TFSi
121,50TFSi
122,40TDi
123,50TDi
124,2.0E
125,2.3E(-20V)
126,2.6E
127,2.8E
128,2.3E-20V
129,1.4TSi
130,2.3E-20V Turbo
131,1.8-20V Turbo
132,2.2i-20V Turbo
133,4.2-V8
134,4.2i-V8
135,3.0i-V6 TFSi
136,3.0-V6 TFSi
137,1.8i Turbo
138,2.1i Turbo 20V
139,3.6i
140,4.2i
141,850
142,1000
143,1275
144,1502
145,1600-2
146,1602
147,1802
148,2002
149,116i
150,118i
151,120i
152,125i
153,130i
154,135i
155,116d
156,118d
157,120d
158,123d
159,114i
160,114d
161,125d
162,M135i
163,M140i
164,M135i xDrive
165,M140i xDrive
166,128ti
167,116D
168,118D
169,120D
170,218i
171,220i
172,228i
173,230i
174,218d
175,220d
176,225d
177,M235i xDrive
178,M240i xDrive
179,M235i
180,M240i
181,216D
182,218D
183,220D
184,216i
185,225i
186,214d
187,216d
188,315
189,316
190,318i
191,320
192,320i
193,318is
194,323i
195,325i
196,324TD
197,316i
198,325iX
199,328i
200,323Ti
