vehicle_id,make,model,listing,year_from,year_to
1,Abarth,124,124  Spider,2016.0,2020.0
2,Abarth,500,500 (312) Hatchback,2007.0,2023.0
3,Abarth,595,595 (312) Hatchback,2007.0,2023.0
4,Abarth,695,695 (312) Hatchback,2007.0,2023.0
5,Abarth,500C,500C (312) Cabriolet,2007.0,2023.0
6,Abarth,595C,595C (312) Cabriolet,2007.0,2023.0
7,Abarth,695C,695C (312) Cabriolet,2007.0,2023.0
8,Acura,CL,CL  Coupé,2001.0,2003.0
9,Acura,Integra,Integra (DC2) Coupé,1994.0,1997.0
10,Acura,Integra,Integra (DC4) Coupé,1994.0,2001.0
11,Acura,Integra,Integra (DC4) Coupé,1997.0,2001.0
12,Acura,RSX,RSX  Coupé,2002.0,2006.0
13,Acura,TL,TL  Saloon,2000.0,2003.0
14,Acura,TL,TL  Saloon,2004.0,2006.0
15,Acura,TSX,TSX  Saloon,2004.0,2008.0
16,Acura,TSX,TSX  Saloon,2009.0,2013.0
17,Alfa Romeo,33,33  Saloon,1990.0,1994.0
18,Alfa Romeo,75,75  Saloon,1985.0,1991.0
19,Alfa Romeo,75,75  Saloon,1988.0,1991.0
20,Alfa Romeo,90,90  Saloon,1985.0,1987.0
21,Alfa Romeo,147,147  Hatchback,2000.0,2010.0
22,Alfa Romeo,156,156  Saloon,1997.0,2006.0
23,Alfa Romeo,156,156  Sportwagen,1997.0,2006.0
24,Alfa Romeo,159,159  Saloon,2005.0,2012.0
25,Alfa Romeo,159,159  Sportwagen,2005.0,2012.0
26,Alfa Romeo,147 GTA,147 GTA  Hatchback,2003.0,2005.0
27,Alfa Romeo,156 GTA,156 GTA  Saloon,2001.0,2006.0
28,Alfa Romeo,Alfetta,Alfetta  Saloon,1972.0,1986.0
29,Alfa Romeo,Alfetta GTV,Alfetta GTV  Coupé,1976.0,1984.0
30,Alfa Romeo,Brera,Brera  Coupé,2005.0,2011.0
31,Alfa Romeo,Giulia,Giulia  Spider,1962.0,1965.0
32,Alfa Romeo,Giulia,Giulia () Saloon,1965.0,1978.0
33,Alfa Romeo,Giulia Sprint,Giulia Sprint  Coupé,1962.0,1965.0
34,Alfa Romeo,Giulia SS,Giulia SS  Coupé,1962.0,1965.0
35,Alfa Romeo,Giulietta,Giulietta () Hatchback,2010.0,2019.0
36,Alfa Romeo,Giulietta,Giulietta () Saloon,1955.0,1964.0
37,Alfa Romeo,Giulietta,Giulietta (116) Saloon,1978.0,1987.0
38,Alfa Romeo,GT,GT () Coupé,2004.0,2010.0
39,Alfa Romeo,GTV,GTV  Coupé,1976.0,1984.0
40,Alfa Romeo,GTV,GTV () Coupé,1995.0,1997.0
41,Alfa Romeo,GTV,GTV () Coupé,1995.0,2003.0
42,Alfa Romeo,GTV,GTV () Coupé,1995.0,2005.0
43,Alfa Romeo,GTV,GTV () Coupé,1997.0,2005.0
44,Alfa Romeo,MiTo,MiTo () Hatchback,2008.0,2018.0
45,Alfa Romeo,Montreal,Montreal () Coupé,1974.0,1976.0
46,Alfa Romeo,Spider,Spider () Convertible,1967.0,1993.0
47,Alfa Romeo,Spider,Spider () Convertible,1999.0,2005.0
48,Alfa Romeo,Spider,Spider () Convertible,2006.0,2011.0
49,Alpine,A108,A108 () Coupé,1958.0,1963.0
50,Alpine,A110,A110 () Coupé,1963.0,1975.0
51,Audi,80,80 (B4) Cabriolet  Quattro,1991.0,2000.0
52,Audi,80,80 (B4) Saloon,1991.0,1995.0
53,Audi,80,80 (B4) Saloon,1992.0,1995.0
54,Audi,80,80 (B4) Saloon,1994.0,1995.0
55,Audi,100,100 (C3) Avant,1983.0,1994.0
56,Audi,100,100 (C3) Avant  Quattro,1983.0,1994.0
57,Audi,100,100 (C3) Saloon,1983.0,1994.0
58,Audi,200,200 (C3) Avant,1983.0,1994.0
59,Audi,200,200 (C3) Avant  Quattro,1983.0,1994.0
60,Audi,200,200 (C3) Saloon,1983.0,1994.0
61,Audi,200,200 (C3) Saloon  Quattro,1983.0,1994.0
62,Audi,A1,"A1 (8XA,8XF) Hatchback",2010.0,2018.0
63,Audi,A1,A1 (GBA) Hatchback,2018.0,
64,Audi,A1 City Carver,A1 City Carver (GBH) Hatchback,2018.0,
65,Audi,A2,A2 (8Z) Hatchback,2000.0,2005.0
66,Audi,A3,A3 (8L) Hatchback,1996.0,2003.0
67,Audi,A3,A3 (8L) Hatchback  Quattro,1998.0,1999.0
68,Audi,A3,A3 (8L) Hatchback  Quattro,1999.0,2003.0
69,Audi,A3,A3 (8P) Cabriolet,2003.0,2012.0
70,Audi,A3,A3 (8P) Hatchback,2003.0,2012.0
71,Audi,A3,A3 (8P) Hatchback  Quattro,2003.0,2012.0
72,Audi,A3,A3 (8P) Sportback,2003.0,2012.0
73,Audi,A3,A3 (8P) Sportback  Quattro,2003.0,2012.0
74,Audi,A3,A3 (8V) Cabriolet,2014.0,2019.0
75,Audi,A3,A3 (8V) Cabriolet  Quattro,2014.0,2019.0
76,Audi,A3,A3 (8V) Hatchback,2012.0,2019.0
77,Audi,A3,A3 (8V) Hatchback  Quattro,2012.0,2019.0
78,Audi,A3,A3 (8V) Saloon,2012.0,2019.0
79,Audi,A3,A3 (8V) Saloon  Quattro,2012.0,2019.0
80,Audi,A3,A3 (8V) Sportback,2012.0,2019.0
81,Audi,A3,A3 (8V) Sportback  Quattro,2012.0,2019.0
82,Audi,A3,A3 (8Y) Hatchback,2020.0,
83,Audi,A3,A3 (8Y) Hatchback  Quattro,2020.0,
84,Audi,A3,A3 (8Y) Saloon,2020.0,
85,Audi,A3,A3 (8Y) Saloon  Quattro,2020.0,
86,Audi,A3 E-Tron,A3 E-Tron (8V) Sportback,2014.0,2019.0
87,Audi,A3 G-Tron,A3 G-Tron (8V) Sportback,2014.0,2019.0
88,Audi,A4,A4 (B5) Avant,1994.0,1998.0
89,Audi,A4,A4 (B5) Avant,1998.0,2010.0
90,Audi,A4,A4 (B5) Saloon,1994.0,1998.0
91,Audi,A4,A4 (B5) Saloon,1998.0,2010.0
92,Audi,A4,A4 (B6/B7) Avant,2001.0,2007.0
93,Audi,A4,A4 (B6/B7) Avant  Quattro,2000.0,2007.0
94,Audi,A4,A4 (B6/B7) Cabriolet,2000.0,2007.0
95,Audi,A4,A4 (B6/B7) Saloon,2000.0,2007.0
96,Audi,A4,A4 (B6/B7) Saloon  Quattro,2000.0,2007.0
97,Audi,A4,A4 (B8) Avant,2008.0,2015.0
98,Audi,A4,A4 (B8) Saloon,2008.0,2015.0
99,Audi,A4,A4 (B8) Saloon  Quattro,2008.0,2015.0
100,Audi,A4,A4 (B9) Avant,2015.0,2023.0
101,Audi,A4,A4 (B9) Avant  Quattro,2015.0,2023.0
102,Audi,A4,A4 (B9) Saloon,2015.0,2023.0
103,Audi,A4,A4 (B9) Saloon  Quattro,2015.0,2023.0
104,Audi,A5,A5 (8T) Cabriolet,2009.0,2015.0
105,Audi,A5,A5 (8T) Cabriolet  Quattro,2009.0,2015.0
106,Audi,A5,A5 (8T) Coupé,2007.0,2015.0
107,Audi,A5,A5 (8T) Coupé  Quattro,2007.0,2015.0
108,Audi,A5,A5 (8T) Sportback,2009.0,2015.0
109,Audi,A5,A5 (8T) Sportback  Quattro,2009.0,2015.0
110,Audi,A5,A5 (8W) Cabriolet,2016.0,2023.0
111,Audi,A5,A5 (8W) Cabriolet  Quattro,2016.0,2023.0
112,Audi,A5,A5 (8W) Coupé,2016.0,2023.0
113,Audi,A5,A5 (8W) Coupé  Quattro,2016.0,2023.0
114,Audi,A5,A5 (8W) Sportback,2016.0,2023.0
115,Audi,A5,A5 (8W) Sportback  Quattro,2016.0,2023.0
116,Audi,A6,A6 (C4) Avant,1994.0,1997.0
117,Audi,A6,A6 (C4) Avant  Quattro,1994.0,1997.0
118,Audi,A6,A6 (C4) Saloon,1994.0,1997.0
119,Audi,A6,A6 (C4) Saloon  Quattro,1994.0,1997.0
120,Audi,A6,A6 (C5) Avant,1998.0,2004.0
121,Audi,A6,A6 (C5) Avant  Quattro,1997.0,2004.0
122,Audi,A6,A6 (C5) Saloon,1997.0,2004.0
123,Audi,A6,A6 (C5) Saloon  Quattro,1997.0,2004.0
124,Audi,A6,A6 (C6) Avant,2005.0,2011.0
125,Audi,A6,A6 (C6) Avant  Quattro,2005.0,2011.0
126,Audi,A6,A6 (C6) Saloon,2004.0,2011.0
127,Audi,A6,A6 (C6) Saloon  Quattro,2004.0,2011.0
128,Audi,A6,A6 (C7) Avant,2011.0,2018.0
129,Audi,A6,A6 (C7) Avant  Quattro,2011.0,2018.0
130,Audi,A6,A6 (C7) Saloon,2011.0,2018.0
131,Audi,A6,A6 (C7) Saloon  Quattro,2011.0,2018.0
132,Audi,A6,A6 (C8) Avant,2018.0,2023.0
133,Audi,A6,A6 (C8) Avant  Quattro,2018.0,2023.0
134,Audi,A6,A6 (C8) Saloon,2018.0,2023.0
135,Audi,A6,A6 (C8) Saloon  Quattro,2018.0,2023.0
136,Audi,A7,A7 (4G) Sportback,2010.0,2018.0
137,Audi,A7,A7 (4G) Sportback  Quattro,2010.0,2018.0
138,Audi,A7,A7 (4KA) Sportback,2018.0,2023.0
139,Audi,A7,A7 (4KA) Sportback  Quattro,2018.0,2023.0
140,Audi,Coupé,Coupé (B2) Coupé,1980.0,1989.0
141,Audi,Coupé,Coupé (B2) Coupé  Quattro,1980.0,1989.0
142,Audi,Coupé,Coupé (B3) Coupé,1989.0,1995.0
143,Audi,Coupé,Coupé (B3) Coupé  Quattro,1989.0,1991.0
144,Audi,Q2,Q2 (GAB) Hatchback,2016.0,2023.0
145,Audi,Q3,Q3 (8U) Hatchback,2011.0,2018.0
146,Audi,Q3,Q3 (8U) Hatchback  Quattro,2011.0,2018.0
147,Audi,Q3,Q3 (F38) Hatchback,2018.0,
148,Audi,Q3,Q3 (F38) Hatchback  Quattro,2018.0,
149,Audi,Q5,Q5 (8R) Hatchback,2008.0,2016.0
150,Audi,Q5,Q5 (8R) Hatchback  Quattro,2008.0,2016.0
151,Audi,RS2,RS2 (B3) Avant  Quattro,1994.0,1996.0
152,Audi,S2,S2 (B3) Avant  Quattro,1993.0,1995.0
153,Audi,S2,S2 (B3) Coupé  Quattro,1990.0,1995.0
154,Audi,S3,S3 (8L) Hatchback  Quattro,1999.0,2003.0
155,Audi,S3,S3 (8P) Hatchback  Quattro,2006.0,2012.0
156,Audi,S3,S3 (8P) Sportback  Quattro,2006.0,2012.0
157,Audi,S3,S3 (8Y) Hatchback  Quattro,2020.0,
158,Audi,S4,S4 (B4) Avant  Quattro,1991.0,1994.0
159,Audi,S4,S4 (B4) Saloon  Quattro,1991.0,1994.0
160,Audi,S4,S4 (B6/B7) Avant  Quattro,2003.0,2007.0
161,Audi,S4,S4 (B6/B7) Saloon  Quattro,2003.0,2007.0
162,Audi,S4,S4 (B8) Avant  Quattro,2008.0,2013.0
163,Audi,S4,S4 (B8) Saloon  Quattro,2008.0,2013.0
164,Audi,S4,S4 (B9) Saloon  Quattro,2015.0,2023.0
165,Audi,S5,S5 (8T) Coupé  Quattro,2007.0,2017.0
166,Audi,S5,S5 (8T) Sportback  Quattro,2007.0,2017.0
167,Audi,S5,S5 (F5) Coupé  Quattro,2017.0,
168,Audi,S5,S5 (F5) Sportback  Quattro,2017.0,
169,Audi,S6,S6 (C4) Avant  Quattro,1994.0,1997.0
